,FireRating,Area,Structural,Unconnected_Height,Volume,Width
3014,2,0.5923264196387162,0.0,0.6783919597989949,0.51255670316914,0.2512562814070352
1057,5,0.18635193592291494,0.0,0.31658291457286436,0.05801041898319318,0.06532663316582915
2754,3,0.47734182290198923,0.0,0.6783919597989949,0.5261009402536175,0.7914572864321608
1559,3,0.7913425259681339,0.0,0.40703517587939697,0.7890312148149126,0.5778894472361809
3955,5,0.7393819478604776,0.0,0.9977235813998714,0.9235618602511774,0.9496692165078606
3822,5,0.24300152629232866,0.0,0.016781264987062505,0.06530667208841055,0.0
3318,3,0.5048925883939017,0.0,0.34673366834170855,0.5444409074339835,0.5778894472361809
490,3,0.16495196580112165,0.0,0.44472361809045224,0.2533912969516785,0.3592964824120603
241,3,0.8203372383962604,0.0,0.8115577889447236,0.812483066610544,0.5778894472361809
236,3,0.8203372383962604,0.0,0.8115577889447236,0.7955491643909551,0.5778894472361809
2921,2,0.48077265530401336,0.0,0.6783919597989949,0.437132311726876,0.2512562814070352
2854,2,0.28759467731264626,0.0,0.542713567839196,0.2842225387007662,0.2512562814070352
1635,3,0.7437426684996352,0.0,0.8115577889447236,0.7497614385739003,0.5778894472361809
2724,2,0.1753757360024769,0.0,0.41959798994974873,0.2385585773510888,0.31658291457286436
352,5,0.5790634715235199,1.0,0.8115577889447236,0.6080402078942534,0.7914572864321608
395,5,0.29156250089494273,0.0,0.31658291457286436,0.08191668196299874,0.06532663316582915
1858,3,0.20605732516105427,0.0,0.2361809045226131,0.2985789353841269,0.5778894472361809
984,5,0.5853576661356164,1.0,0.06945247122668526,0.44014150955887715,0.18592964824120603
2419,3,0.3566241545489361,0.0,0.6783919597989949,0.42832000926709674,0.5778894472361809
3834,0,0.29974034797490084,0.0,0.11374062128754411,0.1864202556250757,0.12060301507537688
1495,3,0.7620017907089888,0.0,0.8115577889447236,0.7657626421495749,0.5778894472361809
2911,2,0.010435096441257567,0.0,0.542713567839196,0.03682436822636641,0.2512562814070352
3827,5,0.9300111039419093,1.0,0.8115577889447236,0.9339812390250726,0.9221105527638191
3363,5,0.3576896022436259,0.0,0.35175879396984927,0.22927780890394467,0.15577889447236182
159,5,0.9498118437375138,1.0,0.8115577889447236,0.966455562927282,1.0
248,3,0.6760171672091886,0.0,0.542713567839196,0.7162686410674692,0.8241206030150754
3300,3,0.3404945353797584,0.0,0.8115577889447236,0.41613443143907586,0.5778894472361809
101,5,0.8261111317740545,0.0,0.28151009353576745,0.3633820597591278,0.06532663316582915
2725,3,0.43842952027585846,0.0,0.542713567839196,0.4807535523208189,0.8241206030150754
2464,0,0.14642347507820225,0.0,0.08040201005025126,0.11628087586143644,0.12060301507537688
768,3,0.6030225804208417,0.0,0.9623115577889447,0.6185365817076763,0.5778894472361809
